Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-17 15:13:38,NSE:CARBORUNIV,1121.4,59.51,63.07,-3.57,2026-08-17 15:00,40.33,53.49,-13.16,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.51 > 50, but Hourly RSI has not touched 30 (current 40.33)"
2026-08-17 15:13:39,NSE:CGCL,226.43,59.15,59.2,-0.06,2026-08-17 15:00,31.98,33.9,-1.92,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.15 > 50, but Hourly RSI has not touched 30 (current 31.98)"
2026-08-17 15:13:40,NSE:CHENNPETRO,1384.0,72.84,69.87,2.97,2026-08-17 15:00,63.16,43.2,19.95,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.84 > 50, but Hourly RSI has not touched 30 (current 63.16)"
2026-08-17 15:13:40,NSE:COFORGE,1802.0,66.93,67.69,-0.76,2026-08-17 15:00,44.83,51.16,-6.34,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 66.93 > 50, but Hourly RSI has not touched 30 (current 44.83)"
2026-08-17 15:13:41,NSE:COHANCE,442.85,49.02,48.61,0.41,2026-08-17 15:00,46.06,44.28,1.78,YES,,,,,,,15m logic removed,IGNORE,❌ IGNORE,Weekly RSI 49.02 <= 50
2026-08-17 15:13:42,NSE:CONCOR,524.4,56.31,56.92,-0.62,2026-08-17 15:00,50.19,54.08,-3.89,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 56.31 > 50, but Hourly RSI has not touched 30 (current 50.19)"
2026-08-17 15:13:42,NSE:CYIENTDLM,736.4,86.11,84.24,1.87,2026-08-17 15:00,65.76,47.59,18.18,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 86.11 > 50, but Hourly RSI has not touched 30 (current 65.76)"
2026-08-17 15:13:43,NSE:DATAPATTNS,4527.0,61.42,60.33,1.09,2026-08-17 15:00,56.91,47.42,9.49,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 61.42 > 50, but Hourly RSI has not touched 30 (current 56.91)"
2026-08-17 15:13:44,NSE:DEEPAKFERT,1503.0,57.44,57.01,0.43,2026-08-17 15:00,57.56,51.53,6.03,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 57.44 > 50, but Hourly RSI has not touched 30 (current 57.56)"
2026-08-17 15:13:45,NSE:DEVYANI,143.46,65.31,65.58,-0.27,2026-08-17 15:00,61.41,63.75,-2.34,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 65.31 > 50, but Hourly RSI has not touched 30 (current 61.41)"
